Task 4/21: --problem pollu --model GELU-scaled --profile fast --seed 104 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23644859_4.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=104  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=7.76
  derivmatch lr=0.01 iter=1020/10200 loss=5.889
  derivmatch lr=0.01 iter=1530/10200 loss=6.164
  derivmatch lr=0.01 iter=2040/10200 loss=4.671
  derivmatch lr=0.01 iter=2550/10200 loss=4.392
  derivmatch lr=0.01 iter=3060/10200 loss=4.182
  derivmatch lr=0.01 iter=3570/10200 loss=2.969
  derivmatch lr=0.01 iter=4080/10200 loss=2.517
  derivmatch lr=0.01 iter=4590/10200 loss=2.862
  derivmatch lr=0.01 iter=5100/10200 loss=2.36
  derivmatch lr=0.01 iter=5610/10200 loss=2.864
  derivmatch lr=0.01 iter=6120/10200 loss=3.011
  derivmatch lr=0.01 iter=6630/10200 loss=2.049
  derivmatch lr=0.01 iter=7140/10200 loss=2.571
  derivmatch lr=0.01 iter=7650/10200 loss=2.085
  derivmatch lr=0.01 iter=8160/10200 loss=1.654
  derivmatch lr=0.01 iter=8670/10200 loss=1.909
  derivmatch lr=0.01 iter=9180/10200 loss=1.704
  derivmatch lr=0.01 iter=9690/10200 loss=1.19
  derivmatch lr=0.01 iter=10200/10200 loss=1.707
  derivmatch lr=0.01 iter=10200/10200 loss=0.945
  derivmatch lr=0.003 iter=375/7500 loss=0.6589
  derivmatch lr=0.003 iter=750/7500 loss=0.7293
  derivmatch lr=0.003 iter=1125/7500 loss=0.6728
  derivmatch lr=0.003 iter=1500/7500 loss=0.5553
  derivmatch lr=0.003 iter=1875/7500 loss=0.6661
  derivmatch lr=0.003 iter=2250/7500 loss=0.6525
  derivmatch lr=0.003 iter=2625/7500 loss=0.6223
  derivmatch lr=0.003 iter=3000/7500 loss=0.6709
  derivmatch lr=0.003 iter=3375/7500 loss=0.6018
  derivmatch lr=0.003 iter=3750/7500 loss=0.4947
  derivmatch lr=0.003 iter=4125/7500 loss=0.6017
